"Ultimate chocolate cake","Indulge yourself with Angela Nilsen's heavenly moist and fudgy chocolate cake - perfect for celebrations - birthdays, weddings, christenings - any excuse!...","2 hours and 10 mins","Easy","https://www.bbcgoodfood.com/recipes/3092/ultimate-chocolate-cake","false"
"Best-ever brownies","A foolproof recipe for squidgy cake squares, studded with extra chunks of chocolate for extra decadence","1 hour","More effort","https://www.bbcgoodfood.com/recipes/1223/bestever-brownies","false"
"Best-ever brownies","A foolproof recipe for squidgy cake squares, studded with extra chunks of chocolate for extra decadence","1 hour","More effort","https://www.bbcgoodfood.com/recipes/1223/bestever-brownies","false"
